epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.8170,16.80,2.5903,46.60,-1.2267,-29.80,0.000100
2,2.4268,49.46,1.8791,63.00,-0.5477,-13.54,0.000200
3,2.1025,58.81,1.8556,64.60,-0.2469,-5.79,0.000300
4,2.0991,58.49,1.8451,63.50,-0.2540,-5.01,0.000400
5,2.0921,59.32,2.0001,61.30,-0.0920,-1.98,0.000500
6,2.0125,61.69,1.9290,64.00,-0.0834,-2.31,0.000500
7,1.9016,64.48,1.8297,67.10,-0.0719,-2.62,0.000499
8,1.8242,67.47,1.9515,62.30,0.1272,5.17,0.000498
9,1.7522,70.01,1.8608,66.50,0.1085,3.51,0.000495
10,1.6859,71.94,1.8439,68.60,0.1580,3.34,0.000491
11,1.6167,74.06,1.9262,63.10,0.3095,10.96,0.000485
12,1.5708,75.87,1.8974,64.20,0.3266,11.67,0.000479
13,1.5428,76.52,1.8585,64.80,0.3157,11.72,0.000471
14,1.4933,78.52,1.8914,64.50,0.3981,14.02,0.000463
15,1.4469,80.52,1.9394,63.00,0.4925,17.52,0.000453
16,1.4052,81.16,1.9192,65.10,0.5140,16.06,0.000443
17,1.3820,82.23,1.8702,66.50,0.4882,15.73,0.000431
18,1.3368,83.91,1.8668,66.00,0.5300,17.91,0.000419
19,1.3319,84.21,1.8136,67.60,0.4816,16.61,0.000406
20,1.2810,86.17,1.7862,70.00,0.5053,16.17,0.000392
21,1.2415,87.24,1.9072,66.20,0.6657,21.04,0.000378
22,1.2149,87.96,1.8382,67.90,0.6233,20.06,0.000362
23,1.2002,88.39,1.8416,66.80,0.6414,21.59,0.000347
24,1.1744,89.33,1.8158,68.40,0.6415,20.93,0.000331
25,1.1525,89.99,1.8183,69.60,0.6659,20.39,0.000314
26,1.1453,90.21,1.8155,69.60,0.6701,20.61,0.000298
27,1.1042,91.21,1.7933,69.60,0.6890,21.61,0.000281
28,1.0927,91.66,1.8016,69.50,0.7089,22.16,0.000264
29,1.0676,92.71,1.6868,71.90,0.6192,20.81,0.000246
30,1.0623,92.63,1.7348,71.10,0.6725,21.53,0.000229
31,1.0297,93.61,1.7071,73.20,0.6774,20.41,0.000212
32,1.0249,93.68,1.7342,72.10,0.7094,21.58,0.000196
33,1.0063,94.18,1.7591,70.80,0.7528,23.38,0.000179
34,0.9920,94.57,1.6904,73.10,0.6984,21.47,0.000163
35,0.9833,94.74,1.7251,71.60,0.7418,23.14,0.000148
36,0.9601,95.42,1.6782,72.90,0.7181,22.52,0.000133
37,0.9581,95.57,1.6660,74.40,0.7078,21.17,0.000118
38,0.9417,96.01,1.6776,72.60,0.7359,23.41,0.000104
39,0.9295,96.28,1.6795,73.90,0.7499,22.38,0.000091
40,0.9197,96.51,1.6519,73.90,0.7322,22.61,0.000079
41,0.9095,96.96,1.6454,74.70,0.7358,22.26,0.000067
42,0.8993,97.13,1.6420,74.80,0.7427,22.33,0.000057
43,0.8942,97.44,1.6127,75.90,0.7185,21.54,0.000047
44,0.8998,97.12,1.6088,75.30,0.7090,21.82,0.000039
45,0.8903,97.42,1.6019,76.70,0.7116,20.72,0.000031
46,0.8858,97.48,1.6048,75.70,0.7190,21.78,0.000025
47,0.8851,97.52,1.5998,76.30,0.7147,21.22,0.000019
48,0.8791,97.58,1.6024,76.60,0.7233,20.98,0.000015
49,0.8754,97.74,1.5987,76.30,0.7234,21.44,0.000012
50,0.8752,97.83,1.5961,76.30,0.7209,21.53,0.000011
