epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.5144,24.78,2.2278,56.00,-1.2866,-31.22,0.000100
2,2.2600,54.02,1.7336,70.00,-0.5264,-15.98,0.000200
3,2.0577,60.17,1.7867,66.30,-0.2710,-6.13,0.000300
4,2.0672,59.71,1.9328,63.30,-0.1344,-3.59,0.000400
5,2.0769,59.59,2.0672,59.10,-0.0096,0.49,0.000500
6,1.9952,62.01,2.0311,61.60,0.0359,0.41,0.000500
7,1.9127,64.38,1.8482,64.70,-0.0645,-0.32,0.000499
8,1.8268,67.31,1.9446,61.70,0.1178,5.61,0.000498
9,1.7387,70.57,1.8746,67.00,0.1359,3.57,0.000495
10,1.6707,72.54,1.8872,66.10,0.2166,6.44,0.000491
11,1.6232,74.19,1.8677,66.10,0.2445,8.09,0.000485
12,1.5701,75.74,1.8699,66.00,0.2998,9.74,0.000479
13,1.5413,76.83,1.9016,66.40,0.3603,10.43,0.000471
14,1.4786,78.64,1.8837,66.70,0.4051,11.94,0.000463
15,1.4540,79.80,1.8413,67.40,0.3874,12.40,0.000453
16,1.4137,81.39,1.8911,65.50,0.4774,15.89,0.000443
17,1.3863,82.02,1.8129,67.80,0.4266,14.22,0.000431
18,1.3442,83.32,1.8585,67.60,0.5143,15.72,0.000419
19,1.3101,84.51,1.9043,65.90,0.5942,18.61,0.000406
20,1.2961,85.48,1.8423,67.40,0.5462,18.08,0.000392
21,1.2473,87.03,1.8339,68.90,0.5866,18.13,0.000378
22,1.2325,87.39,1.7740,69.50,0.5415,17.89,0.000362
23,1.1866,88.64,1.8591,66.50,0.6725,22.14,0.000347
24,1.1759,89.01,1.8041,71.80,0.6282,17.21,0.000331
25,1.1524,89.60,1.8479,68.10,0.6955,21.50,0.000314
26,1.1484,89.98,1.8403,69.00,0.6919,20.98,0.000298
27,1.1116,91.23,1.8572,69.80,0.7456,21.43,0.000281
28,1.0775,92.09,1.8435,68.40,0.7660,23.69,0.000264
29,1.0654,92.68,1.8016,69.20,0.7362,23.48,0.000246
30,1.0535,92.87,1.8033,69.30,0.7498,23.57,0.000229
31,1.0417,93.16,1.7923,70.60,0.7506,22.56,0.000212
32,1.0157,94.11,1.7738,71.00,0.7581,23.11,0.000196
33,1.0012,94.58,1.7425,71.40,0.7414,23.18,0.000179
34,0.9797,94.93,1.7587,71.30,0.7790,23.63,0.000163
35,0.9771,94.93,1.7081,72.60,0.7310,22.33,0.000148
36,0.9790,94.83,1.7249,71.40,0.7459,23.43,0.000133
37,0.9595,95.41,1.7239,71.80,0.7644,23.61,0.000118
38,0.9460,95.92,1.7145,72.90,0.7685,23.02,0.000104
39,0.9319,96.02,1.6780,73.90,0.7461,22.12,0.000091
40,0.9253,96.39,1.6757,73.70,0.7504,22.69,0.000079
41,0.9199,96.40,1.6776,73.60,0.7577,22.80,0.000067
42,0.9096,96.69,1.6445,74.70,0.7349,21.99,0.000057
43,0.9012,97.17,1.6357,75.50,0.7345,21.67,0.000047
44,0.9027,97.07,1.6367,75.40,0.7340,21.67,0.000039
45,0.8824,97.49,1.6333,76.10,0.7509,21.39,0.000031
46,0.8938,97.22,1.6357,75.90,0.7418,21.32,0.000025
47,0.8876,97.37,1.6348,75.60,0.7472,21.77,0.000019
48,0.8946,97.07,1.6154,75.60,0.7208,21.47,0.000015
49,0.8835,97.60,1.6240,75.80,0.7405,21.80,0.000012
50,0.8869,97.19,1.6213,75.20,0.7343,21.99,0.000011
