epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.5968,47.01,1.5630,74.57,-1.0338,-27.56,0.000100
2,1.8964,65.19,1.5371,75.33,-0.3594,-10.14,0.000200
3,1.8716,65.90,1.6122,71.87,-0.2594,-5.97,0.000300
4,1.9299,63.50,1.7172,68.67,-0.2127,-5.16,0.000400
5,1.9928,61.97,1.8227,65.23,-0.1701,-3.26,0.000500
6,1.9202,64.05,1.7034,70.87,-0.2168,-6.81,0.000500
7,1.8463,66.29,1.6779,70.77,-0.1684,-4.48,0.000499
8,1.7696,68.19,1.6964,69.37,-0.0732,-1.17,0.000498
9,1.7283,69.76,1.6444,71.63,-0.0839,-1.87,0.000495
10,1.6859,71.04,1.6372,72.00,-0.0487,-0.96,0.000491
11,1.6286,72.67,1.6150,73.67,-0.0136,-1.00,0.000485
12,1.5931,74.08,1.6631,71.33,0.0700,2.75,0.000479
13,1.5556,75.29,1.6130,73.23,0.0574,2.05,0.000471
14,1.5098,76.70,1.5779,73.83,0.0680,2.87,0.000463
15,1.4674,78.22,1.5981,74.00,0.1307,4.22,0.000453
16,1.4316,79.43,1.5989,73.93,0.1673,5.50,0.000443
17,1.3981,80.59,1.5717,74.50,0.1736,6.09,0.000431
18,1.3680,81.73,1.5980,73.97,0.2300,7.76,0.000419
19,1.3360,82.61,1.6109,73.57,0.2748,9.04,0.000406
20,1.3062,83.62,1.5909,74.13,0.2847,9.49,0.000392
21,1.2717,84.73,1.5989,74.73,0.3272,10.00,0.000378
22,1.2452,85.66,1.5660,75.70,0.3208,9.96,0.000362
23,1.2176,86.21,1.5915,74.97,0.3739,11.25,0.000347
24,1.2006,87.09,1.5579,75.73,0.3573,11.36,0.000331
25,1.1633,88.43,1.5437,76.43,0.3804,12.00,0.000314
26,1.1492,88.80,1.5703,76.33,0.4211,12.47,0.000298
27,1.1262,89.54,1.5134,78.07,0.3872,11.47,0.000281
28,1.1117,90.12,1.5242,77.00,0.4125,13.12,0.000264
29,1.0802,91.10,1.5262,77.43,0.4460,13.67,0.000246
30,1.0628,91.64,1.5227,77.20,0.4599,14.44,0.000229
31,1.0551,91.91,1.5391,77.40,0.4840,14.51,0.000212
32,1.0310,92.71,1.5153,77.87,0.4843,14.84,0.000196
33,1.0165,92.96,1.5033,77.80,0.4868,15.16,0.000179
34,0.9997,93.62,1.5030,78.43,0.5033,15.19,0.000163
35,0.9822,94.12,1.4961,78.60,0.5139,15.52,0.000148
36,0.9671,94.75,1.4926,78.70,0.5255,16.05,0.000133
37,0.9536,95.03,1.4822,78.57,0.5286,16.47,0.000118
38,0.9538,95.12,1.4772,79.73,0.5234,15.39,0.000104
39,0.9340,95.61,1.5100,78.77,0.5760,16.84,0.000091
40,0.9362,95.57,1.4721,80.20,0.5359,15.37,0.000079
41,0.9200,96.21,1.4472,80.73,0.5272,15.47,0.000067
42,0.9042,96.53,1.4545,80.23,0.5503,16.30,0.000057
43,0.9071,96.51,1.4543,80.67,0.5472,15.84,0.000047
44,0.8988,96.63,1.4440,81.07,0.5452,15.57,0.000039
45,0.8931,96.85,1.4318,81.10,0.5386,15.75,0.000031
46,0.8846,97.04,1.4328,81.00,0.5482,16.04,0.000025
47,0.8846,97.10,1.4417,80.87,0.5571,16.23,0.000019
48,0.8793,97.29,1.4358,80.97,0.5565,16.33,0.000015
49,0.8830,97.07,1.4342,81.13,0.5512,15.94,0.000012
50,0.8801,97.12,1.4335,81.00,0.5535,16.12,0.000011
