epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.6312,45.32,1.5867,73.73,-1.0445,-28.41,0.000100
2,1.9167,64.21,1.5138,76.53,-0.4028,-12.32,0.000200
3,1.8960,64.78,1.5690,73.83,-0.3269,-9.05,0.000300
4,1.9423,63.10,1.6637,71.47,-0.2786,-8.37,0.000400
5,1.9976,61.46,1.7103,69.87,-0.2874,-8.40,0.000500
6,1.9181,63.85,1.6716,71.03,-0.2465,-7.18,0.000500
7,1.8624,65.64,1.6905,70.60,-0.1719,-4.96,0.000499
8,1.7957,67.56,1.6563,72.30,-0.1394,-4.74,0.000498
9,1.7413,69.08,1.5662,74.27,-0.1751,-5.19,0.000495
10,1.6968,70.68,1.6141,73.43,-0.0827,-2.75,0.000491
11,1.6452,72.38,1.5664,73.97,-0.0788,-1.59,0.000485
12,1.5904,74.11,1.5644,75.03,-0.0260,-0.93,0.000479
13,1.5543,75.57,1.5696,74.27,0.0154,1.30,0.000471
14,1.5234,76.37,1.5515,76.03,0.0280,0.34,0.000463
15,1.4723,77.98,1.5872,73.93,0.1149,4.05,0.000453
16,1.4348,79.29,1.5601,75.67,0.1253,3.62,0.000443
17,1.4022,80.34,1.5102,76.23,0.1081,4.11,0.000431
18,1.3806,80.97,1.5745,75.27,0.1939,5.70,0.000419
19,1.3420,82.36,1.5402,76.13,0.1982,6.22,0.000406
20,1.3134,83.54,1.5407,76.37,0.2273,7.17,0.000392
21,1.2824,84.68,1.5218,76.60,0.2394,8.08,0.000378
22,1.2534,85.18,1.5367,76.40,0.2833,8.78,0.000362
23,1.2313,86.07,1.4965,77.43,0.2651,8.64,0.000347
24,1.2056,86.96,1.4908,77.70,0.2852,9.26,0.000331
25,1.1777,87.81,1.4930,78.40,0.3153,9.41,0.000314
26,1.1559,88.59,1.5095,77.23,0.3536,11.36,0.000298
27,1.1361,88.96,1.4756,78.43,0.3394,10.52,0.000281
28,1.1036,90.50,1.5304,77.53,0.4269,12.97,0.000264
29,1.0983,90.50,1.4765,78.57,0.3782,11.93,0.000246
30,1.0735,91.31,1.4796,79.17,0.4061,12.15,0.000229
31,1.0504,92.03,1.4830,79.03,0.4326,13.00,0.000212
32,1.0269,92.94,1.4975,78.80,0.4707,14.14,0.000196
33,1.0136,93.30,1.4589,79.40,0.4453,13.90,0.000179
34,1.0017,93.59,1.4800,79.27,0.4783,14.32,0.000163
35,0.9806,94.24,1.4355,80.10,0.4549,14.14,0.000148
36,0.9728,94.41,1.4354,80.10,0.4626,14.31,0.000133
37,0.9585,95.00,1.4521,80.20,0.4935,14.80,0.000118
38,0.9528,95.01,1.4446,80.87,0.4918,14.14,0.000104
39,0.9364,95.67,1.4362,80.80,0.4998,14.87,0.000091
40,0.9355,95.62,1.4172,81.03,0.4817,14.59,0.000079
41,0.9208,95.98,1.4114,81.13,0.4906,14.84,0.000067
42,0.9063,96.47,1.3983,81.37,0.4920,15.10,0.000057
43,0.8996,96.68,1.4000,81.90,0.5003,14.78,0.000047
44,0.9029,96.63,1.3933,81.67,0.4904,14.97,0.000039
45,0.8935,96.96,1.3859,81.87,0.4924,15.10,0.000031
46,0.8918,96.92,1.3920,82.03,0.5002,14.89,0.000025
47,0.8850,97.10,1.3806,82.37,0.4956,14.73,0.000019
48,0.8901,96.90,1.3886,81.90,0.4986,15.00,0.000015
49,0.8803,97.16,1.3849,82.80,0.5045,14.36,0.000012
50,0.8827,97.24,1.3811,82.90,0.4985,14.34,0.000011
